"data_hora","idade","genero","periodo","indice_aprendizado","aspecto","disciplinas","avaliacao","tipo","comp_cursadas","mat_cursadas","prat_cursadas"
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_ger_temp","prat",3,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"falta_contato","mat",2,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"falta_contato","comp",4,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"falta_contato","prat",5,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"amb_nao_prod","mat",3,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"amb_nao_prod","comp",3,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"amb_nao_prod","prat",3,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"flex_horario","mat",4,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"flex_horario","comp",4,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"flex_horario","prat",4,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"estrut_clara","mat",5,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"estrut_clara","comp",5,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"estrut_clara","prat",5,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"ritmo_proprio","mat",3,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"ritmo_proprio","comp",3,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"ritmo_proprio","prat",3,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"comunic_prej","mat",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"comunic_prej","comp",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"comunic_prej","prat",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_ger_temp","mat",1,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_ger_temp","comp",2,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"prob_ger_temp","prat",2,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"falta_contato","mat",2,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"falta_contato","comp",3,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"falta_contato","prat",3,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"amb_nao_prod","mat",2,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"amb_nao_prod","comp",2,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"amb_nao_prod","prat",4,"dificuldade",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"flex_horario","mat",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"flex_horario","comp",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"flex_horario","prat",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"estrut_clara","mat",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"estrut_clara","comp",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"estrut_clara","prat",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"ritmo_proprio","mat",1,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"ritmo_proprio","comp",2,"positivo",1,1,1
"2021/08/10 12:55:30 PM GMT-3",20,"Masculino","2018.2",4,"ritmo_proprio","prat",2,"positivo",1,1,1
"2021/08/10 12:56:57 PM GMT-3",20,"Masculino","2018.2",7,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 12:56:57 PM GMT-3",20,"Masculino","2018.2",7,"prob_tec","comp",1,"dificuldade",1,1,1
